Cliente,Email,ID Cartão Sócio,Localizador,clubeFavorito,Data da Compra,produto
Micha Brackin,micha.brackin@zipmail.com.br,SAMS-33155,LOC-SAMS17383,São Caetano do Sul,25/8/2015,Maionese Heinz
Micha Brackin,micha.brackin@zipmail.com.br,SAMS-33155,LOC-SAMS17383,São Caetano do Sul,25/8/2015,Papel Toalha Kitchen Jumbo
Ellamae Beightol,ellamae.beightol@ig.com.br,SAMS-4702,LOC-SAMS32471,Maceió,5/2/2014,Kit Oral-B Stages
Ellamae Beightol,ellamae.beightol@ig.com.br,SAMS-4702,LOC-SAMS32471,Maceió,5/2/2014,Maionese Heinz
Ellamae Beightol,ellamae.beightol@ig.com.br,SAMS-4702,LOC-SAMS32471,Maceió,5/2/2014,Azeitonas Verdes sem Caroço Raiola 420 g
Ellamae Beightol,ellamae.beightol@ig.com.br,SAMS-4702,LOC-SAMS32471,Maceió,5/2/2014,Chocolate Kit Kat
Linnie Aoki,linnie.aoki@r7.com,SAMS-44709,LOC-SAMS1407,Águas Claras,17/6/2015,Sabonete Líquido Member's Mark 980 ml
Jonathan Gusler,jonathan.gusler@zipmail.com.br,SAMS-37443,LOC-SAMS22179,Brasília,11/9/2015,Escova Dental Oral-B Complete
Jonathan Gusler,jonathan.gusler@zipmail.com.br,SAMS-37443,LOC-SAMS22179,Brasília,11/9/2015,Cápsulas Nescafé Dolce Gusto
Misty Moresi,misty.moresi@zipmail.com.br,SAMS-24264,LOC-SAMS25798,Santo Amaro,20/1/2015,Azeitonas Verdes sem Caroço Raiola 420 g
Misty Moresi,misty.moresi@zipmail.com.br,SAMS-24264,LOC-SAMS25798,Santo Amaro,20/1/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Misty Moresi,misty.moresi@zipmail.com.br,SAMS-24264,LOC-SAMS25798,Santo Amaro,20/1/2015,Kit Oral-B Stages
Misty Moresi,misty.moresi@zipmail.com.br,SAMS-24264,LOC-SAMS25798,Santo Amaro,20/1/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Clarence Kalpakoff,clarence.kalpakoff@gmail.com,SAMS-32452,LOC-SAMS57771,Guarulhos,2/2/2014,Sacos para Lixo Reforçado Dover Roll 100 L
Clarence Kalpakoff,clarence.kalpakoff@gmail.com,SAMS-32452,LOC-SAMS57771,Guarulhos,2/2/2014,Escova Dental Oral-B Complete
Bao Cumley,bao.cumley@r7.com,SAMS-18337,LOC-SAMS40012,São José dos Campos,2/7/2014,Filtro Melitta Aroma Max 103
Bao Cumley,bao.cumley@r7.com,SAMS-18337,LOC-SAMS40012,São José dos Campos,2/7/2014,Azeitonas Verdes sem Caroço Raiola 420 g
Brinda Oberfell,brinda.oberfell@zipmail.com.br,SAMS-56607,LOC-SAMS12702,Curitiba - Atuba,17/9/2015,Escova Dental Oral-B Complete
Brinda Oberfell,brinda.oberfell@zipmail.com.br,SAMS-56607,LOC-SAMS12702,Curitiba - Atuba,17/9/2015,Passa Fácil Member's Mark
Milo Perri,milo.perri@yahoo.com.br,SAMS-25595,LOC-SAMS1738,Brasília,22/6/2016,Papel Guardanapo Folha Dupla Mascot
Reginia Engessor,reginia.engessor@yahoo.com.br,SAMS-5763,LOC-SAMS16140,Curitiba - Atuba,25/5/2015,Papel Guardanapo Folha Dupla Mascot
Reginia Engessor,reginia.engessor@yahoo.com.br,SAMS-5763,LOC-SAMS16140,Curitiba - Atuba,25/5/2015,Shampoo ou Condicionador TRESemmé 1 L
Reginia Engessor,reginia.engessor@yahoo.com.br,SAMS-5763,LOC-SAMS16140,Curitiba - Atuba,25/5/2015,Cereal Froot Loops Kellogg's
Patricia Lowcks,patricia.lowcks@uol.com.br,SAMS-60315,LOC-SAMS51333,Santo André,25/4/2015,Shampoo Pantene 1 L
Patricia Lowcks,patricia.lowcks@uol.com.br,SAMS-60315,LOC-SAMS51333,Santo André,25/4/2015,Nescau Sachê 2.0 800 g
Patricia Lowcks,patricia.lowcks@uol.com.br,SAMS-60315,LOC-SAMS51333,Santo André,25/4/2015,Amaciante Aconchego Ypê 5 L
Patricia Lowcks,patricia.lowcks@uol.com.br,SAMS-60315,LOC-SAMS51333,Santo André,25/4/2015,Alimento para Cães Adultos Ultima Sachê
Tristan Ordman,tristan.ordman@oi.com.br,SAMS-43337,LOC-SAMS50149,Niterói,5/1/2015,Passa Fácil Member's Mark
Tristan Ordman,tristan.ordman@oi.com.br,SAMS-43337,LOC-SAMS50149,Niterói,5/1/2015,Sacos para Lixo Reforçado Dover Roll 100 L
Tristan Ordman,tristan.ordman@oi.com.br,SAMS-43337,LOC-SAMS50149,Niterói,5/1/2015,Sucrilhos Kellogg's
Tristan Ordman,tristan.ordman@oi.com.br,SAMS-43337,LOC-SAMS50149,Niterói,5/1/2015,Kit Finish 3 Unidades
Vella Cawood,vella.cawood@r7.com,SAMS-63582,LOC-SAMS59630,Ribeirão Preto,19/5/2016,Kit Shampoo + Condicionador Dove 750 ml
Vella Cawood,vella.cawood@r7.com,SAMS-63582,LOC-SAMS59630,Ribeirão Preto,19/5/2016,Aparelho de Barbear Gillette Prestobarba 3
Tamra Donatello,tamra.donatello@bol.com.br,SAMS-23959,LOC-SAMS9973,Salvador,22/2/2015,Chocolate Kit Kat
Tamra Donatello,tamra.donatello@bol.com.br,SAMS-23959,LOC-SAMS9973,Salvador,22/2/2015,Tapete Higiênico Sanol Dog
Rossie Wolfson,rossie.wolfson@r7.com,SAMS-42814,LOC-SAMS58604,Curitiba - Barigui,18/9/2014,Composto Lácteo em Pó Zero Lactose Ninho 380 g
Rossie Wolfson,rossie.wolfson@r7.com,SAMS-42814,LOC-SAMS58604,Curitiba - Barigui,18/9/2014,Composto Lácteo em Pó Zero Lactose Ninho 380 g
Summer Larmore,summer.larmore@r7.com,SAMS-15476,LOC-SAMS52872,Campinas,27/7/2016,Freezer Roll 2 L
Summer Larmore,summer.larmore@r7.com,SAMS-15476,LOC-SAMS52872,Campinas,27/7/2016,Lava Roupas em Pó Member's Mark 5 Kg
Summer Larmore,summer.larmore@r7.com,SAMS-15476,LOC-SAMS52872,Campinas,27/7/2016,Tapete Higiênico Sanol Dog
Summer Larmore,summer.larmore@r7.com,SAMS-15476,LOC-SAMS52872,Campinas,27/7/2016,Eliminador de Odores Sanol 5 L
Summer Larmore,summer.larmore@r7.com,SAMS-15476,LOC-SAMS52872,Campinas,27/7/2016,Shampoo Pantene 1 L
Summer Larmore,summer.larmore@r7.com,SAMS-15476,LOC-SAMS52872,Campinas,27/7/2016,Freezer Roll 2 L
Lacey Delfelder,lacey.delfelder@uol.com.br,SAMS-8892,LOC-SAMS7527,Curitiba - Barigui,1/9/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Lacey Delfelder,lacey.delfelder@uol.com.br,SAMS-8892,LOC-SAMS7527,Curitiba - Barigui,1/9/2015,Escova Dental Oral-B Complete
Lacey Delfelder,lacey.delfelder@uol.com.br,SAMS-8892,LOC-SAMS7527,Curitiba - Barigui,1/9/2015,Whisky Johnnie Walker Green Label 750 ml
Maryanna Mancia,maryanna.mancia@uol.com.br,SAMS-38607,LOC-SAMS8113,Porto Alegre,17/11/2016,Ração Carne e Cereais Herói 18 Kg
Maryanna Mancia,maryanna.mancia@uol.com.br,SAMS-38607,LOC-SAMS8113,Porto Alegre,17/11/2016,Sucrilhos Kellogg's
Ela Mocher,ela.mocher@ig.com.br,SAMS-52265,LOC-SAMS61663,Goiânia,11/12/2014,Freezer Roll 2 L
Amberly Rayyan,amberly.rayyan@uol.com.br,SAMS-52186,LOC-SAMS47116,Porto Alegre,26/10/2016,Sucrilhos Kellogg's
Joleen Milkey,joleen.milkey@bol.com.br,SAMS-13641,LOC-SAMS4391,Linha Amarela,7/7/2015,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Joleen Milkey,joleen.milkey@bol.com.br,SAMS-13641,LOC-SAMS4391,Linha Amarela,7/7/2015,Papel Higiênico Personal Decor
Verline Grilley,verline.grilley@ig.com.br,SAMS-52907,LOC-SAMS38198,São Caetano do Sul,1/12/2016,Papel Guardanapo Folha Dupla Mascot
Verline Grilley,verline.grilley@ig.com.br,SAMS-52907,LOC-SAMS38198,São Caetano do Sul,1/12/2016,Ração Carne e Cereais Herói 18 Kg
Verline Grilley,verline.grilley@ig.com.br,SAMS-52907,LOC-SAMS38198,São Caetano do Sul,1/12/2016,Tratamento Aussie Shine + Strong
Donald Deroche,donald.deroche@globomail.com,SAMS-24628,LOC-SAMS18129,Ribeirão Preto,25/10/2014,Ração Carne e Cereais Herói 18 Kg
Donald Deroche,donald.deroche@globomail.com,SAMS-24628,LOC-SAMS18129,Ribeirão Preto,25/10/2014,Molho Barbecue Heinz
Donald Deroche,donald.deroche@globomail.com,SAMS-24628,LOC-SAMS18129,Ribeirão Preto,25/10/2014,Whisky Buchanan's 12 Anos 1 L
Donald Deroche,donald.deroche@globomail.com,SAMS-24628,LOC-SAMS18129,Ribeirão Preto,25/10/2014,Sabonete Líquido Jurassic 750 ml
Donald Deroche,donald.deroche@globomail.com,SAMS-24628,LOC-SAMS18129,Ribeirão Preto,25/10/2014,Papel Guardanapo Folha Dupla Mascot
Donald Deroche,donald.deroche@globomail.com,SAMS-24628,LOC-SAMS18129,Ribeirão Preto,25/10/2014,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Keith Moseby,keith.moseby@oi.com.br,SAMS-24758,LOC-SAMS62344,Contagem,19/5/2015,Sabonete Líquido Member's Mark 980 ml
Renna Brownlie,renna.brownlie@bol.com.br,SAMS-1819,LOC-SAMS15872,Contagem,22/2/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Renna Brownlie,renna.brownlie@bol.com.br,SAMS-1819,LOC-SAMS15872,Contagem,22/2/2015,Sabonete Líquido Jurassic 750 ml
Renna Brownlie,renna.brownlie@bol.com.br,SAMS-1819,LOC-SAMS15872,Contagem,22/2/2015,Sacos para Lixo 15 L ou 30 L Member's Mark
Renna Brownlie,renna.brownlie@bol.com.br,SAMS-1819,LOC-SAMS15872,Contagem,22/2/2015,Azeitonas Pretas Azapa Raiola 500 g
Renna Brownlie,renna.brownlie@bol.com.br,SAMS-1819,LOC-SAMS15872,Contagem,22/2/2015,Sucrilhos Power Chocolate Kellogg�s
Valeria Meeter,valeria.meeter@gmail.com,SAMS-1,LOC-SAMS64790,Ribeirão Preto,9/8/2015,Kit Shampoo + Condicionador Dove 750 ml
Valeria Meeter,valeria.meeter@gmail.com,SAMS-1,LOC-SAMS64790,Ribeirão Preto,9/8/2015,Kit Fisher-Price
Jonas Allison,jonas.allison@pop.com.br,SAMS-2268,LOC-SAMS38543,Recife,22/4/2014,Kit Finish 3 Unidades
Jonas Allison,jonas.allison@pop.com.br,SAMS-2268,LOC-SAMS38543,Recife,22/4/2014,Amaciante Concentrado Downy 3,96 L
Jonas Allison,jonas.allison@pop.com.br,SAMS-2268,LOC-SAMS38543,Recife,22/4/2014,Tratamento Aussie Moist 3 Minutos
Carmina Overturf,carmina.overturf@bol.com.br,SAMS-28596,LOC-SAMS782,Niterói,3/6/2016,Cápsulas Nescafé Dolce Gusto
Carmina Overturf,carmina.overturf@bol.com.br,SAMS-28596,LOC-SAMS782,Niterói,3/6/2016,Papel Higiênico Personal Decor
Earnest Tarlton,earnest.tarlton@folha.com.br,SAMS-30053,LOC-SAMS21428,Tamboré,24/5/2014,Filtro Melitta Aroma Max 103
Earnest Tarlton,earnest.tarlton@folha.com.br,SAMS-30053,LOC-SAMS21428,Tamboré,24/5/2014,Cápsulas Nescafé Dolce Gusto
Earnest Tarlton,earnest.tarlton@folha.com.br,SAMS-30053,LOC-SAMS21428,Tamboré,24/5/2014,Escova Dental Oral-B Complete
Jeane Spellacy,jeane.spellacy@globomail.com,SAMS-19014,LOC-SAMS63900,Natal,1/10/2015,Azeitonas Verdes sem Caroço Raiola 420 g
Jeane Spellacy,jeane.spellacy@globomail.com,SAMS-19014,LOC-SAMS63900,Natal,1/10/2015,Kit Shampoo + Condicionador Dove 750 ml
Jeane Spellacy,jeane.spellacy@globomail.com,SAMS-19014,LOC-SAMS63900,Natal,1/10/2015,Azeitonas Verdes sem Caroço Raiola 420 g
Jeane Spellacy,jeane.spellacy@globomail.com,SAMS-19014,LOC-SAMS63900,Natal,1/10/2015,Sabonete Líquido Jurassic 750 ml
Jeane Spellacy,jeane.spellacy@globomail.com,SAMS-19014,LOC-SAMS63900,Natal,1/10/2015,Eliminador de Odores Sanol 5 L
Jeane Spellacy,jeane.spellacy@globomail.com,SAMS-19014,LOC-SAMS63900,Natal,1/10/2015,Tomate Inteiro Pelado Italiano Raiola
Wendolyn Spane,wendolyn.spane@ig.com.br,SAMS-37276,LOC-SAMS15399,Santo Amaro,16/2/2014,Filtro Melitta Aroma Max 103
Wendolyn Spane,wendolyn.spane@ig.com.br,SAMS-37276,LOC-SAMS15399,Santo Amaro,16/2/2014,Azeitonas Pretas Azapa Raiola 500 g
Wendolyn Spane,wendolyn.spane@ig.com.br,SAMS-37276,LOC-SAMS15399,Santo Amaro,16/2/2014,Sabão Líquido Roma Coco 2 L
Wendolyn Spane,wendolyn.spane@ig.com.br,SAMS-37276,LOC-SAMS15399,Santo Amaro,16/2/2014,Tapete Higiênico Sanol Dog
Adrianna Babic,adrianna.babic@ig.com.br,SAMS-5307,LOC-SAMS26307,São Caetano do Sul,16/7/2015,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Adrianna Babic,adrianna.babic@ig.com.br,SAMS-5307,LOC-SAMS26307,São Caetano do Sul,16/7/2015,Sabonete Líquido Member's Mark 980 ml
Adrianna Babic,adrianna.babic@ig.com.br,SAMS-5307,LOC-SAMS26307,São Caetano do Sul,16/7/2015,Tratamento Aussie Shine + Strong
Shara Angeles,shara.angeles@gmail.com,SAMS-11545,LOC-SAMS30303,Campinas,16/3/2015,Sucrilhos Power Chocolate Kellogg�s
Shara Angeles,shara.angeles@gmail.com,SAMS-11545,LOC-SAMS30303,Campinas,16/3/2015,Molho Barbecue Heinz
Wyatt Hameister,wyatt.hameister@r7.com,SAMS-59686,LOC-SAMS46491,São José dos Campos,6/9/2015,Sacos para Lixo 15 L ou 30 L Member's Mark
Wyatt Hameister,wyatt.hameister@r7.com,SAMS-59686,LOC-SAMS46491,São José dos Campos,6/9/2015,Nescau Cereal Matinal 770 g
Donya Merganthaler,donya.merganthaler@bol.com.br,SAMS-48364,LOC-SAMS24695,Fortaleza,10/1/2015,Nescau Cereal Matinal 770 g
Donya Merganthaler,donya.merganthaler@bol.com.br,SAMS-48364,LOC-SAMS24695,Fortaleza,10/1/2015,Lava Roupas Líquido Member's Mark 5 L
Terisa Osullivan,terisa.osullivan@globomail.com,SAMS-62894,LOC-SAMS35727,Campinas,22/2/2015,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Terisa Osullivan,terisa.osullivan@globomail.com,SAMS-62894,LOC-SAMS35727,Campinas,22/2/2015,Sabonete Líquido Member's Mark 980 ml
Terisa Osullivan,terisa.osullivan@globomail.com,SAMS-62894,LOC-SAMS35727,Campinas,22/2/2015,Tratamento Aussie Moist 3 Minutos
Terisa Osullivan,terisa.osullivan@globomail.com,SAMS-62894,LOC-SAMS35727,Campinas,22/2/2015,Azeitonas Pretas Azapa Raiola 500 g
Porsche Garnica,porsche.garnica@uol.com.br,SAMS-10333,LOC-SAMS58824,Campinas,5/8/2014,Kit Oral-B Stages
Porsche Garnica,porsche.garnica@uol.com.br,SAMS-10333,LOC-SAMS58824,Campinas,5/8/2014,Whisky Buchanan's 12 Anos 1 L
Bruno Raptis,bruno.raptis@gmail.com,SAMS-5090,LOC-SAMS34970,Guarulhos,29/10/2014,Kit Finish 3 Unidades
Jared Topick,jared.topick@uol.com.br,SAMS-29904,LOC-SAMS4366,Curitiba - Barigui,12/10/2016,Whisky Johnnie Walker Green Label 750 ml
Patience Alme,patience.alme@zipmail.com.br,SAMS-31199,LOC-SAMS33835,Santo Amaro,12/12/2014,Kit Finish 3 Unidades
Patience Alme,patience.alme@zipmail.com.br,SAMS-31199,LOC-SAMS33835,Santo Amaro,12/12/2014,Sabonete Líquido Member's Mark 980 ml
Patience Alme,patience.alme@zipmail.com.br,SAMS-31199,LOC-SAMS33835,Santo Amaro,12/12/2014,Amaciante Aconchego Ypê 5 L
Patience Alme,patience.alme@zipmail.com.br,SAMS-31199,LOC-SAMS33835,Santo Amaro,12/12/2014,Filtro Melitta Aroma Max 103
Ray Watah,ray.watah@yahoo.com.br,SAMS-28340,LOC-SAMS54136,Brasília,18/3/2014,Sabonete Líquido Member's Mark 980 ml
Ray Watah,ray.watah@yahoo.com.br,SAMS-28340,LOC-SAMS54136,Brasília,18/3/2014,Cápsulas Nescafé Dolce Gusto
Ray Watah,ray.watah@yahoo.com.br,SAMS-28340,LOC-SAMS54136,Brasília,18/3/2014,Novi a Mop Twister
Ray Watah,ray.watah@yahoo.com.br,SAMS-28340,LOC-SAMS54136,Brasília,18/3/2014,Whisky Buchanan's 12 Anos 1 L
Ray Watah,ray.watah@yahoo.com.br,SAMS-28340,LOC-SAMS54136,Brasília,18/3/2014,Passa Fácil Member's Mark
Ray Watah,ray.watah@yahoo.com.br,SAMS-28340,LOC-SAMS54136,Brasília,18/3/2014,Papel Higiênico Personal Decor
Colby Morquecho,colby.morquecho@yahoo.com.br,SAMS-57711,LOC-SAMS54637,Curitiba - Atuba,13/7/2015,Escova Dental Oral-B Complete
Colby Morquecho,colby.morquecho@yahoo.com.br,SAMS-57711,LOC-SAMS54637,Curitiba - Atuba,13/7/2015,Rolo Adesivo Scotch-Brite
Meryl Dreesman,meryl.dreesman@hotmail.com,SAMS-5290,LOC-SAMS34748,Bom Retiro,2/12/2015,Sabonete Líquido Member's Mark 980 ml
Meryl Dreesman,meryl.dreesman@hotmail.com,SAMS-5290,LOC-SAMS34748,Bom Retiro,2/12/2015,Sucrilhos Kellogg's
Lora Giere,lora.giere@globomail.com,SAMS-41589,LOC-SAMS53671,Natal,13/10/2016,Aparelho de Barbear Gillette Prestobarba 3
Lora Giere,lora.giere@globomail.com,SAMS-41589,LOC-SAMS53671,Natal,13/10/2016,Lava Roupas em Pó Member's Mark 5 Kg
Lora Giere,lora.giere@globomail.com,SAMS-41589,LOC-SAMS53671,Natal,13/10/2016,Maionese Heinz
Lora Giere,lora.giere@globomail.com,SAMS-41589,LOC-SAMS53671,Natal,13/10/2016,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Lora Giere,lora.giere@globomail.com,SAMS-41589,LOC-SAMS53671,Natal,13/10/2016,Chocolate Kit Kat
Lora Giere,lora.giere@globomail.com,SAMS-41589,LOC-SAMS53671,Natal,13/10/2016,Sucrilhos Kellogg's
Agustin Zubizarreta,agustin.zubizarreta@r7.com,SAMS-44684,LOC-SAMS36793,Ribeirão Preto,23/11/2015,Cereal Froot Loops Kellogg's
Agustin Zubizarreta,agustin.zubizarreta@r7.com,SAMS-44684,LOC-SAMS36793,Ribeirão Preto,23/11/2015,Absorvente com Abas Maxi Proteção Always
Agustin Zubizarreta,agustin.zubizarreta@r7.com,SAMS-44684,LOC-SAMS36793,Ribeirão Preto,23/11/2015,Azeitonas Verdes sem Caroço Raiola 420 g
Agustin Zubizarreta,agustin.zubizarreta@r7.com,SAMS-44684,LOC-SAMS36793,Ribeirão Preto,23/11/2015,Lava Roupas em Pó Member's Mark 5 Kg
Leonie Planck,leonie.planck@bol.com.br,SAMS-62095,LOC-SAMS46243,São Bernardo do Campo,4/12/2014,Papel Higiênico Personal Decor
Leonie Planck,leonie.planck@bol.com.br,SAMS-62095,LOC-SAMS46243,São Bernardo do Campo,4/12/2014,Lava Roupas Dreft
Leonie Planck,leonie.planck@bol.com.br,SAMS-62095,LOC-SAMS46243,São Bernardo do Campo,4/12/2014,Nescau Cereal Matinal 770 g
Leonie Planck,leonie.planck@bol.com.br,SAMS-62095,LOC-SAMS46243,São Bernardo do Campo,4/12/2014,Lava Roupas em Pó Member's Mark 5 Kg
Leonie Planck,leonie.planck@bol.com.br,SAMS-62095,LOC-SAMS46243,São Bernardo do Campo,4/12/2014,Sabão Líquido Roma Coco 2 L
Teodora Florea,teodora.florea@pop.com.br,SAMS-48469,LOC-SAMS5499,Osasco,12/1/2015,Tratamento Aussie Shine + Strong
Teodora Florea,teodora.florea@pop.com.br,SAMS-48469,LOC-SAMS5499,Osasco,12/1/2015,Tratamento Aussie Shine + Strong
Teodora Florea,teodora.florea@pop.com.br,SAMS-48469,LOC-SAMS5499,Osasco,12/1/2015,Cápsulas Nescafé Dolce Gusto
Leeann Romar,leeann.romar@bol.com.br,SAMS-50307,LOC-SAMS4807,Bom Retiro,8/6/2015,Papel Higiênico Personal Decor
Leeann Romar,leeann.romar@bol.com.br,SAMS-50307,LOC-SAMS4807,Bom Retiro,8/6/2015,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Leeann Romar,leeann.romar@bol.com.br,SAMS-50307,LOC-SAMS4807,Bom Retiro,8/6/2015,Composto Lácteo em Pó Zero Lactose Ninho 380 g
Leeann Romar,leeann.romar@bol.com.br,SAMS-50307,LOC-SAMS4807,Bom Retiro,8/6/2015,Sabão Líquido Roma Coco 2 L
Dorthea Tobar,dorthea.tobar@zipmail.com.br,SAMS-4581,LOC-SAMS27887,Santo Amaro,1/10/2016,Sacos para Lixo 50 L ou 100 L Member's Mark
Dorthea Tobar,dorthea.tobar@zipmail.com.br,SAMS-4581,LOC-SAMS27887,Santo Amaro,1/10/2016,Sacos para Lixo 15 L ou 30 L Member's Mark
Brent Millinor,brent.millinor@gmail.com,SAMS-5491,LOC-SAMS10471,Curitiba - Barigui,13/7/2014,Composto Lácteo em Pó Zero Lactose Ninho 380 g
Brent Millinor,brent.millinor@gmail.com,SAMS-5491,LOC-SAMS10471,Curitiba - Barigui,13/7/2014,Amaciante Aconchego Ypê 5 L
Brent Millinor,brent.millinor@gmail.com,SAMS-5491,LOC-SAMS10471,Curitiba - Barigui,13/7/2014,Sacos para Lixo 50 L ou 100 L Member's Mark
Brent Millinor,brent.millinor@gmail.com,SAMS-5491,LOC-SAMS10471,Curitiba - Barigui,13/7/2014,Ração Carne e Vegetais Herói 18 Kg
Tana Schlater,tana.schlater@zipmail.com.br,SAMS-29805,LOC-SAMS49041,Brasília,28/1/2015,Tapete Higiênico Sanol Dog
Tana Schlater,tana.schlater@zipmail.com.br,SAMS-29805,LOC-SAMS49041,Brasília,28/1/2015,Papel Toalha Kitchen Jumbo
Tana Schlater,tana.schlater@zipmail.com.br,SAMS-29805,LOC-SAMS49041,Brasília,28/1/2015,Whisky Old Parr 1 L
Faustina Schnetter,faustina.schnetter@bol.com.br,SAMS-29401,LOC-SAMS36791,Fortaleza,20/9/2016,Alimento para Cães Adultos Ultima Sachê
Faustina Schnetter,faustina.schnetter@bol.com.br,SAMS-29401,LOC-SAMS36791,Fortaleza,20/9/2016,Amaciante Aconchego Ypê 5 L
Margot Wehrle,margot.wehrle@globomail.com,SAMS-37785,LOC-SAMS8262,Guarulhos,24/4/2015,Filtro Melitta Aroma Max 103
Margot Wehrle,margot.wehrle@globomail.com,SAMS-37785,LOC-SAMS8262,Guarulhos,24/4/2015,Sabonete Líquido Jurassic 750 ml
Margot Wehrle,margot.wehrle@globomail.com,SAMS-37785,LOC-SAMS8262,Guarulhos,24/4/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Margot Wehrle,margot.wehrle@globomail.com,SAMS-37785,LOC-SAMS8262,Guarulhos,24/4/2015,Cereal Froot Loops Kellogg's
Margot Wehrle,margot.wehrle@globomail.com,SAMS-37785,LOC-SAMS8262,Guarulhos,24/4/2015,Tratamento Aussie Moist 3 Minutos
Milda Depew,milda.depew@hotmail.com,SAMS-9818,LOC-SAMS5813,Salvador,14/11/2016,Amaciante Aconchego Ypê 5 L
Milda Depew,milda.depew@hotmail.com,SAMS-9818,LOC-SAMS5813,Salvador,14/11/2016,Amaciante Aconchego Ypê 5 L
Milda Depew,milda.depew@hotmail.com,SAMS-9818,LOC-SAMS5813,Salvador,14/11/2016,Novi a Mop Twister
Milda Depew,milda.depew@hotmail.com,SAMS-9818,LOC-SAMS5813,Salvador,14/11/2016,Cereal Froot Loops Kellogg's
Clotilde Graciana,clotilde.graciana@pop.com.br,SAMS-36492,LOC-SAMS28291,São Caetano do Sul,10/9/2015,Amaciante Concentrado Downy 3,96 L
Shanika Ohanley,shanika.ohanley@oi.com.br,SAMS-22418,LOC-SAMS49961,São Bernardo do Campo,25/1/2016,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Shanika Ohanley,shanika.ohanley@oi.com.br,SAMS-22418,LOC-SAMS49961,São Bernardo do Campo,25/1/2016,Aparelho de Barbear Gillette Prestobarba 3
Janine Witting,janine.witting@uol.com.br,SAMS-60173,LOC-SAMS39199,Santo André,25/9/2016,Tratamento Aussie Moist 3 Minutos
Janine Witting,janine.witting@uol.com.br,SAMS-60173,LOC-SAMS39199,Santo André,25/9/2016,Freezer Roll 2 L
Hildegard Chin,hildegard.chin@bol.com.br,SAMS-57873,LOC-SAMS32325,Linha Amarela,30/8/2015,Kit Oral-B Stages
Shakita Dulaney,shakita.dulaney@zipmail.com.br,SAMS-4885,LOC-SAMS47282,Goiânia,9/9/2015,Kit Fisher-Price
Shakita Dulaney,shakita.dulaney@zipmail.com.br,SAMS-4885,LOC-SAMS47282,Goiânia,9/9/2015,Whisky Buchanan's 12 Anos 1 L
Shakita Dulaney,shakita.dulaney@zipmail.com.br,SAMS-4885,LOC-SAMS47282,Goiânia,9/9/2015,Fralda Pampers Confort Sec
Luann Fregia,luann.fregia@globomail.com,SAMS-28093,LOC-SAMS9935,Guarulhos,8/4/2015,Tapete Higiênico Sanol Dog
Luann Fregia,luann.fregia@globomail.com,SAMS-28093,LOC-SAMS9935,Guarulhos,8/4/2015,Ração Carne e Vegetais Herói 18 Kg
Nichol Schnell,nichol.schnell@folha.com.br,SAMS-26663,LOC-SAMS57714,Bom Retiro,14/11/2014,Shampoo Pantene 1 L
Nichol Schnell,nichol.schnell@folha.com.br,SAMS-26663,LOC-SAMS57714,Bom Retiro,14/11/2014,Composto Lácteo Crescimento 1+ Ninho 800 g
Launa Esteban,launa.esteban@hotmail.com,SAMS-4585,LOC-SAMS575,Fortaleza,26/9/2014,Azeitonas Pretas Azapa Raiola 500 g
Launa Esteban,launa.esteban@hotmail.com,SAMS-4585,LOC-SAMS575,Fortaleza,26/9/2014,Sabonete Líquido Jurassic 750 ml
Joetta Kaestner,joetta.kaestner@uol.com.br,SAMS-64786,LOC-SAMS18617,Natal,10/4/2016,Kit Finish 3 Unidades
Joetta Kaestner,joetta.kaestner@uol.com.br,SAMS-64786,LOC-SAMS18617,Natal,10/4/2016,Mostarda Heinz
Joetta Kaestner,joetta.kaestner@uol.com.br,SAMS-64786,LOC-SAMS18617,Natal,10/4/2016,Kit Oral-B Stages
Joetta Kaestner,joetta.kaestner@uol.com.br,SAMS-64786,LOC-SAMS18617,Natal,10/4/2016,Sacos para Lixo 50 L ou 100 L Member's Mark
Joetta Kaestner,joetta.kaestner@uol.com.br,SAMS-64786,LOC-SAMS18617,Natal,10/4/2016,Sucrilhos Power Chocolate Kellogg�s
Joetta Kaestner,joetta.kaestner@uol.com.br,SAMS-64786,LOC-SAMS18617,Natal,10/4/2016,Amaciante Aconchego Ypê 5 L
Gwendolyn Theophilus,gwendolyn.theophilus@yahoo.com.br,SAMS-17657,LOC-SAMS51663,Vitória,31/8/2015,Ração Carne e Cereais Herói 18 Kg
Lawerence Borunda,lawerence.borunda@uol.com.br,SAMS-61249,LOC-SAMS20273,Natal,22/6/2015,Passa Fácil Member's Mark
